ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
ORCL,2020-06-26,0,0,0,0,2.0,5.0,1.0,2.0,2.0,4.0,10.0
ORCL,2020-06-29,0,0,0,0,2.0,5.0,1.0,2.0,2.0,7.0,13.0
ORCL,2020-06-30,0,0,0,0,2.0,5.0,1.0,2.0,2.0,8.0,14.0
ORCL,2020-07-01,0,0,0,0,2.0,5.0,1.0,2.0,2.0,9.0,15.0
ORCL,2020-07-02,0,0,0,0,2.0,5.0,1.0,2.0,2.0,10.0,16.0
ORCL,2020-07-06,0,0,0,0,2.0,5.0,1.0,2.0,2.0,14.0,20.0
ORCL,2020-07-07,0,0,0,0,2.0,5.0,1.0,2.0,2.0,15.0,21.0
ORCL,2020-07-08,0,0,0,0,2.0,5.0,1.0,2.0,2.0,16.0,22.0
ORCL,2020-07-09,0,0,0,0,2.0,5.0,1.0,2.0,2.0,17.0,23.0
ORCL,2020-07-10,0,0,0,0,2.0,5.0,1.0,2.0,2.0,18.0,24.0
ORCL,2020-07-13,0,0,0,0,2.0,5.0,1.0,2.0,2.0,21.0,27.0
ORCL,2020-07-14,0,0,0,0,2.0,5.0,1.0,2.0,2.0,22.0,28.0
ORCL,2020-07-15,0,0,0,0,2.0,5.0,1.0,2.0,2.0,23.0,29.0
ORCL,2020-07-16,0,0,0,0,2.0,5.0,1.0,2.0,2.0,24.0,30.0
ORCL,2020-07-17,0,0,0,0,2.0,5.0,1.0,2.0,2.0,25.0,31.0
ORCL,2020-07-20,0,0,0,0,2.0,5.0,1.0,2.0,2.0,28.0,34.0
ORCL,2020-07-21,0,0,0,0,2.0,4.0,1.0,2.0,2.0,29.0,35.0
ORCL,2020-07-22,0,0,0,0,2.0,3.0,1.0,2.0,2.0,30.0,36.0
ORCL,2020-07-23,0,0,0,0,2.0,3.0,1.0,2.0,2.0,31.0,37.0
ORCL,2020-07-24,0,0,0,0,2.0,3.0,1.0,2.0,2.0,32.0,38.0
ORCL,2020-07-27,0,0,0,0,2.0,3.0,1.0,2.0,2.0,35.0,41.0
ORCL,2020-07-28,0,0,0,0,2.0,3.0,1.0,2.0,2.0,36.0,42.0
ORCL,2020-07-29,0,0,0,0,1.0,3.0,0.0,2.0,2.0,37.0,43.0
ORCL,2020-07-30,0,0,0,0,1.0,3.0,0.0,2.0,2.0,38.0,44.0
ORCL,2020-07-31,0,0,0,0,1.0,3.0,0.0,2.0,2.0,39.0,45.0
ORCL,2020-08-03,0,0,0,0,1.0,3.0,0.0,2.0,2.0,42.0,48.0
ORCL,2020-08-04,0,0,0,0,0.0,3.0,0.0,2.0,2.0,43.0,49.0
ORCL,2020-08-05,0,0,0,0,0.0,3.0,0.0,2.0,2.0,44.0,50.0
ORCL,2020-08-06,0,0,0,0,0.0,3.0,0.0,2.0,2.0,45.0,51.0
ORCL,2020-08-07,0,0,0,0,0.0,3.0,0.0,2.0,2.0,46.0,52.0
ORCL,2020-08-10,0,0,0,0,0.0,2.0,0.0,2.0,2.0,49.0,55.0
ORCL,2020-08-11,0,0,0,0,0.0,2.0,0.0,2.0,2.0,50.0,56.0
ORCL,2020-08-12,0,0,0,0,0.0,2.0,0.0,2.0,2.0,51.0,57.0
ORCL,2020-08-13,0,0,0,0,0.0,2.0,0.0,2.0,2.0,52.0,58.0
ORCL,2020-08-14,0,0,0,0,0.0,2.0,0.0,2.0,2.0,53.0,59.0
