ticker,date,open,high,low,close,volume,source,collected_at
INTC,2021-10-25,45.8931,46.1181,45.4186,45.5106,46878436.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-26,45.5014,45.539,44.1476,44.4707,74266532.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-27,44.6912,44.9624,44.0921,44.1102,44601424.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-28,44.3541,44.5434,44.1014,44.2852,34000511.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-29,44.3042,45.3911,44.1384,45.1329,45925415.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-01,45.5014,45.6859,45.1329,45.6397,30414028.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-02,45.6953,45.9564,45.344,45.9261,29523248.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-03,45.9901,46.4686,45.7876,46.413,26015248.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-04,46.5958,46.6975,46.123,46.6608,26745939.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-05,46.884,47.8391,46.8745,47.2269,39695406.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-08,47.727,48.2186,47.3568,47.8108,34122899.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-09,47.8015,48.0153,47.0827,47.486,24268718.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-10,47.2779,47.6603,47.032,47.0782,26999074.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-11,47.3098,47.3653,46.7539,46.8651,27407987.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-12,46.9245,47.2079,46.5403,46.6608,25752777.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-15,46.7446,46.9574,46.4847,46.6702,26627141.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-16,46.7163,47.4398,46.688,46.9386,33346506.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-17,46.9291,47.2459,46.3544,46.5864,25388431.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-18,46.5958,46.5958,45.4186,46.0759,33066061.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-19,46.0025,46.123,45.6689,45.929,29766687.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-22,45.9554,47.1617,45.8254,46.2152,36000909.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-23,46.5223,46.7907,45.1113,45.539,48210196.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-24,45.312,46.1701,45.1017,46.1512,28071938.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-26,45.3525,45.6077,44.6253,45.2413,27245166.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-29,45.7235,46.4942,45.1867,46.3735,33940738.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-11-30,45.9101,46.7446,45.1491,45.6312,53328982.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-01,46.2248,46.6568,45.0001,45.0757,37881051.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-02,45.085,46.1822,44.8249,45.9101,40153234.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-03,46.071,46.4291,45.2225,45.6782,34745117.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-06,45.8912,47.4953,45.6125,47.2918,43490503.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-07,50.6961,51.0105,48.4232,48.7575,98905432.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-08,48.7575,49.0438,47.6564,47.9962,40048282.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-09,47.5792,47.8428,46.7719,46.8179,34172925.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-10,47.1525,47.3653,46.4195,46.9207,25643658.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-13,47.1617,47.3192,46.3262,46.3735,38520957.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-14,46.2057,46.624,45.7423,46.0947,36788805.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-15,46.2529,47.0968,45.7471,46.9951,35139087.0,stooq,2026-05-21 19:51:15.904771+00:00
