ticker,cik,accession_number,filing_date,report_date,form_type,source,collected_at
INTC,50863,0001193125-22-213699,2022-08-05,2022-08-02,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-218541,2022-08-11,2022-08-08,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-226986,2022-08-23,2022-08-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000037,2022-10-27,2022-10-27,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000038,2022-10-28,2022-10-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-291100,2022-11-22,2022-11-22,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-290385,2022-11-22,2022-11-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000005,2023-01-26,2023-01-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000006,2023-01-27,2022-12-31,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-23-032608,2023-02-10,2023-02-07,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000027,2023-04-27,2023-04-27,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000028,2023-04-28,2023-04-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000057,2023-05-17,2023-05-11,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000068,2023-07-27,2023-07-27,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000069,2023-07-28,2023-07-01,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000078,2023-08-16,2023-08-16,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000092,2023-10-05,2023-10-02,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000100,2023-10-26,2023-10-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000103,2023-10-27,2023-09-30,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000109,2023-10-30,2023-10-30,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-23-000128,2023-12-05,2023-11-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-24-000003,2024-01-03,2023-12-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-24-000008,2024-01-25,2024-01-25,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-24-000010,2024-01-26,2023-12-30,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-24-000033,2024-02-16,2024-02-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
